extension_id,name,type,element,folder,client_id,enabled,protected,version
1,com_wrapper,component,com_wrapper,,1,1,0,4.0.0
2,com_admin,component,com_admin,,1,1,1,4.0.0
3,com_banners,component,com_banners,,1,1,0,4.0.0
4,com_cache,component,com_cache,,1,1,1,4.0.0
5,com_categories,component,com_categories,,1,1,1,4.0.0
6,com_checkin,component,com_checkin,,1,1,1,4.0.0
7,com_contact,component,com_contact,,1,1,0,4.0.0
8,com_cpanel,component,com_cpanel,,1,1,1,4.0.0
9,com_installer,component,com_installer,,1,1,1,4.0.0
10,com_languages,component,com_languages,,1,1,1,4.0.0
11,com_login,component,com_login,,1,1,1,4.0.0
12,com_media,component,com_media,,1,1,1,3.0.0
13,com_menus,component,com_menus,,1,1,1,4.0.0
14,com_messages,component,com_messages,,1,1,1,4.0.0
15,com_modules,component,com_modules,,1,1,1,4.0.0
16,com_newsfeeds,component,com_newsfeeds,,1,1,0,4.0.0
17,com_plugins,component,com_plugins,,1,1,1,4.0.0
18,com_templates,component,com_templates,,1,1,1,4.0.0
19,com_content,component,com_content,,1,1,1,4.0.0
20,com_config,component,com_config,,1,1,1,4.0.0
21,com_redirect,component,com_redirect,,1,1,0,4.0.0
22,com_users,component,com_users,,1,1,1,4.0.0
23,com_finder,component,com_finder,,1,1,0,4.0.0
24,com_joomlaupdate,component,com_joomlaupdate,,1,1,1,4.0.3
25,com_tags,component,com_tags,,1,1,0,4.0.0
26,com_contenthistory,component,com_contenthistory,,1,1,0,4.0.0
27,com_ajax,component,com_ajax,,1,1,1,4.0.0
28,com_postinstall,component,com_postinstall,,1,1,1,4.0.0
29,com_fields,component,com_fields,,1,1,0,4.0.0
30,com_associations,component,com_associations,,1,1,0,4.0.0
31,com_privacy,component,com_privacy,,1,1,0,3.9.0
32,com_actionlogs,component,com_actionlogs,,1,1,0,3.9.0
33,com_workflow,component,com_workflow,,1,1,1,4.0.0
34,com_mails,component,com_mails,,1,1,1,4.0.0
35,com_scheduler,component,com_scheduler,,1,1,0,4.1.0
36,lib_joomla,library,joomla,,0,1,1,13.1
37,lib_phpass,library,phpass,,0,1,1,0.3
38,mod_articles_archive,module,mod_articles_archive,,0,1,0,3.0.0
39,mod_articles_latest,module,mod_articles_latest,,0,1,0,3.0.0
40,mod_articles_popular,module,mod_articles_popular,,0,1,0,3.0.0
41,mod_banners,module,mod_banners,,0,1,0,3.0.0
42,mod_breadcrumbs,module,mod_breadcrumbs,,0,1,0,3.0.0
43,mod_custom,module,mod_custom,,0,1,0,3.0.0
44,mod_feed,module,mod_feed,,0,1,0,3.0.0
45,mod_footer,module,mod_footer,,0,1,0,3.0.0
46,mod_login,module,mod_login,,0,1,0,3.0.0
47,mod_menu,module,mod_menu,,0,1,0,3.0.0
48,mod_articles_news,module,mod_articles_news,,0,1,0,3.0.0
49,mod_random_image,module,mod_random_image,,0,1,0,3.0.0
50,mod_related_items,module,mod_related_items,,0,1,0,3.0.0
51,mod_stats,module,mod_stats,,0,1,0,3.0.0
52,mod_syndicate,module,mod_syndicate,,0,1,0,3.0.0
53,mod_users_latest,module,mod_users_latest,,0,1,0,3.0.0
54,mod_whosonline,module,mod_whosonline,,0,1,0,3.0.0
55,mod_wrapper,module,mod_wrapper,,0,1,0,3.0.0
56,mod_articles_category,module,mod_articles_category,,0,1,0,3.0.0
57,mod_articles_categories,module,mod_articles_categories,,0,1,0,3.0.0
58,mod_languages,module,mod_languages,,0,1,0,3.5.0
59,mod_finder,module,mod_finder,,0,1,0,3.0.0
60,mod_custom,module,mod_custom,,1,1,0,3.0.0
61,mod_feed,module,mod_feed,,1,1,0,3.0.0
62,mod_latest,module,mod_latest,,1,1,0,3.0.0
63,mod_logged,module,mod_logged,,1,1,0,3.0.0
64,mod_login,module,mod_login,,1,1,0,3.0.0
65,mod_loginsupport,module,mod_loginsupport,,1,1,0,4.0.0
66,mod_menu,module,mod_menu,,1,1,0,3.0.0
67,mod_popular,module,mod_popular,,1,1,0,3.0.0
68,mod_quickicon,module,mod_quickicon,,1,1,0,3.0.0
69,mod_frontend,module,mod_frontend,,1,1,0,4.0.0
70,mod_messages,module,mod_messages,,1,1,0,4.0.0
